2026-03-15 04:14:52 [INFO] Fetching today's prices from sharesansar…
2026-03-15 04:15:05 [WARNING] Connection error on attempt 1/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:20 [WARNING] Connection error on attempt 2/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [WARNING] Connection error on attempt 3/3: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Failed after 3 attempts: https://www.sharesansar.com/today-share-price
2026-03-15 04:15:28 [ERROR] Could not fetch today's data from sharesansar
2026-03-15 04:15:28 [INFO] [NABIL] Not in sharesansar bulk — falling back to merolagani
2026-03-15 04:15:29 [WARNING] Connection error on attempt 1/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:45 [WARNING] Connection error on attempt 2/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [WARNING] Connection error on attempt 3/3: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:15:52 [ERROR] Failed after 3 attempts: https://merolagani.com/CompanyDetail.aspx?symbol=NABIL
2026-03-15 04:33:36 [INFO] [ALICL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ANLB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [API] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [AVYAN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BANDIPUR] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BARUN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BBC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BEDC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BFC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BGWT] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BHCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BHDC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BHPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BNHC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BNL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BNT] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BPCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [BUNGAL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CFCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CGH] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CHCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CHDC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CIT] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CITY] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CKHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CLI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CORBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CREST] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CYCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [CZBIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DDBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DHEL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DHPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DLBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DOLTI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [DORDI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [EBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [EDBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [EHPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ENL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [FMDBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [FOWAD] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GBIME] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GBLBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GCIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GFCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GILB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GLBSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GLH] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GMFBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GMFIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GMLI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GRDBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GUFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [GVL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HATHY] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HDHPC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HDL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HEI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HFIN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HIDCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HIMSTAR] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HLBSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HLI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HPPL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HRL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [HURJA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ICFC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [IGI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ILBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [ILI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JBLB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JFL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JHAPA] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JOSHI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [JSLBB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KBSH] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KDL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KKHC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KMCDB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KPCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [KSBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [LBBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [LEC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [LICN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [LLBS] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [LSL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MABEL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MAKAR] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MANDU] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MATRI] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MBJC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MBL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MDB] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MEHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MEL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MEN] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MERO] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MFIL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MHCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MHNL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MKCL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MKHC] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MKHL] Already up-to-date, nothing to add
2026-03-15 04:33:36 [INFO] [MKJC] Already up-to-date, nothing to add
